"ICAO","Name","Latitude","Longitude","IATA","GMT","Country code"
"YBWP","Weipa Airport","-12.41","141.53","WEI","10","AUS"
"YDGE","Groote Eylandt Airport","-14","136.3","GTE","10","AUS"
"YGGH","Honiara International Airport","-9.25","160","HIR","11","SLB"
"YGGM","Munda Airport","-8.2","157.25","MUA","11","SLB"
"YGGN","Gizo Airport","-8.1","157","GZO","10","SLB"
"YMAV","Avalon Airport","-38.02","144.28","AVV","11","AUS"
"YMAY","Albury Airport","-36.07","146.57","ABX","11","AUS"
"YMEN","Essendon Fields Airport","-37.42","144.52","MEB","10","AUS"
"YMHB","Hobart International Airport","-42.5","147.3","HBA","11","AUS"
"YMLT","Launceston Airport","-41.33","147.12","LST","11","AUS"
"YMML","Melbourne Airport","-37.44","144.54","MEL","11","AUS"
"YPAD","Adelaide Airport","-34.95","138.32","ADL","10.5","AUS"
"YPBR","Broome International Airport","-17.57","122.14","BME","8","AUS"
"YPCR","Carnarvon Airport","-24.53","113.4","CVQ","8","AUS"
"YPDN","Darwin International Airport","-12.25","130.52","DRW","9.5","AUS"
"YPGV","Gove-East Arnhem Airport","-12.1","136.41","GOV","10","AUS"
"YPKA","Karratha Airport","-20.43","116.46","KTA","8","AUS"
"YPKG","Kalgoorlie-Boulder Airport","-30.46","121.27","YGI","8","AUS"
"YPKU","East Kimberley Regional Airport","-15.5","128.45","KNX","8","AUS"
"YPNW","Newman Airport","-23.25","119.56","ZNE","8","AUS"
"YPPB","Paraburdoo Airport","-23.14","117.31","PBO","8","AUS"
"YPPD","Qantas Freight","-20.23","118.27","PHE","8","AUS"
"YPPH","Perth Airport","-31.56","115.58","PER","8","AUS"
"YSCB","Canberra Airport","-35.25","149.05","SCB","10","AUS"
"YSCH","Coffs Harbour Airport","-30.19","153.06","CFS","11","AUS"
"YSDU","Dubbo City Regional Airport","-32.13","148.34","DBO","11","AUS"
"YSSY","Sydney Airport","-33.56","151.1","SYD","10","AUS"
"YSTW","Tamworth Regional Airport","-31.05","150.51","TMW","11","AUS"
"YSWG","Wagga Wagga Airport","-35.1","147.28","WGA","11","AUS"
"ZBAA","Beijing Capital International Airport","40.03","116.35","BAA","8","CHN"
"ZBAD","Beijing Daxing International Airport","39.51","116.41","PKX","8","CHN"
"ZBCF","Chifeng Yulong Airport","42.2","119.01","BCF","8","CHN"
"ZBCZ","Changzhi Wangcun Airport","36.11","113.08","BCZ","8","CHN"
"ZBLA","Hailar Dongshan Airport","49.12","119.42","HLD","8","CHN"
"ZBOW","Baotou Erliban Airport","40.4","109.59","BAV","8","CHN"
"ZBTJ","Tianjin Binhai International Airport","39.08","117.14","TSN","8","CHN"
"ZBTL","Tongliao Airport","43.3","122.15","TGO","8","CHN"
"ZBUL","Ulanhot Airport","46.05","122.05","HLH","8","CHN"
"ZBXH","Xilinhot Airport","43.58","116.04","XIL","8","CHN"
"ZBYN","Taiyuan Wusu International Airport","37.45","112.38","TYN","8","CHN"
"ZGBH","Beihai Fucheng Airport","21.29","109.05","BHY","8","CHN"
"ZGCS","Changsha Datuopu Airport","28.1","113","CSX","8","CHN"
"ZGGG","Guangzhou Baiyun International Airport","23.11","113.16","CAN","8","CHN"
"ZGHA","Changsha Huanghua International Airport","29.19","113.22","CSX","8","CHN"
"ZGHK","Haikou Meilan International Airport","19.59","110.19","HAK","8","CHN"
"ZGKL","Guilin Liangjiang International Airport","25.11","110.09","KWL","8","CHN"
"ZGMX","Meixian Airport","24.21","116.08","MXZ","8","CHN"
"ZGNN","Nanning Wuxu International Airport","22.47","108","NNG","8","CHN"
"ZGNU","Zhanjiang Airport","21.16","110.28","ZHA","8","CHN"
"ZGOW","Shantou Waisha Airport","23.23","116.41","SWA","8","CHN"
"ZGSY","Sanya Phoenix International Airport","18.05","109.29","SYX","8","CHN"
"ZGSZ","Shenzhen Bao'an International Airport","22.33","113.55","SZX","8","CHN"
"ZGZH","Liuzhou Bailian Airport","24.22","109.32","LZH","8","CHN"
"ZHCC","Zhengzhou Xinzheng International Airport","34.45","113.4","CGO","8","CHN"
"ZHHH","Wuhan Tianhe International Airport","30.47","114.12","WUH","8","CHN"
"ZHLY","Luoyang Beijiao Airport","34.41","112.28","LYA","8","CHN"
"ZJHK","Haikou Meilan International Airport","19.94","110.46","HAK","8","CHN"
"ZKPY","Pyongyang Sunan International Airport","39.01","125.45","FNJ","8","CHN"
"ZLDH","Dunhuang Airport","40.12","94.41","DNH","8","CHN"
"ZLIC","Yinchuan Hedong International Airport","38.22","106.22","INC","8","CHN"
"ZLXY","Xi'an Xianyang International Airport","34.22","108.42","XIY","8","CHN"
"ZMUB","Buyant Ukhaa International Airport","47.51","106.46","ULN","8","MNG"
"ZPLJ","Lijiang Sanyi Airport","26.4","100.14","LJG","8","CHN"
"ZPPP","Kunming Airport","24.59","102.44","KMG","8","CHN"
"ZSAM","Xiamen Gaoqi International Airport","24.28","118.07","XMN","8","CHN"
"ZSCG","Changzhou Benniu Airport","31.42","119.58","CZX","8","CHN"
"ZSCN","Nanchang Changbei International Airport","28.38","115.48","KHN","8","CHN"
"ZSFZ","Fuzhou Changle International Airport","26.06","119.17","FOC","8","CHN"
"ZSGZ","Ganzhou Huangjin Airport","25.54","114.55","KOW","8","CHN"
"ZSHC","Hangzhou International Airport","30.18","120.17","HGH","8","CHN"
"ZSJD","Jingdezhen Airport","29.16","117.11","JDZ","8","CHN"
"ZSLG","Lianyungang Baitabu Airport","34.33","119.15","LYG","8","CHN"
"ZSLQ","Taizhou Luqiao Airport","28.25","122.22","HYN","8","CHN"
"ZSNB","Ningbo Lishe International Airport","29.5","121.32","NGB","8","CHN"
"ZSNJ","Nanjing Lukou International Airport","31.59","118.49","NKG","8","CHN"
"ZSOF","Hefei Xinqiao International Airport","31.57","117.17","HFE","8","CHN"
"ZSPD","Shanghai Pudong International Airport","31.08","-121.48","PVG","8","CHN"
"ZSQD","Qingdao International Airport","36.06","120.19","TAO","8","CHN"
"ZSSS","Shanghai Hongqiao International Airport","31.2","121.3","SHA","8","CHN"
"ZSTN","Jinan Yaoqiang International Airport","36.45","116.58","TNA","8","CHN"
"ZSTX","Tunxi Airport","29.44","118.18","TXN","8","CHN"
"ZSWZ","Wenzhou Longwan International Airport","28","121.4","WNZ","8","CHN"
"ZSYT","Yantai Penglai International Airport","37.33","121.2","YNT","8","CHN"
"ZUCK","Chongqing Jiangbei International Airport","29.35","106.3","CKG","8","CHN"
"ZUGY","Guiyang Longdongbao International Airport","26.4","107.01","KWE","8","CHN"
"ZULS","Lhasa Gonggar Airport","29.4","91.09","LXA","8","CHN"
"ZUTF","Chengdu Tianfu International Airport","30.3","104.4","TFU","8","CHN"
"ZUUU","Chengdu Shuangliu International Airport","30.37","104.06","CTU","8","CHN"
"ZUXC","Xichang Qingshan Airport","27.58","102.13","XIC","8","CHN"
"ZWSH","Kashgar Airport","39.4","76.01","KHG","8","CHN"
"ZWTN","Hotan Airport","37.02","79.52","HTN","8","CHN"
"ZWWW","Urumqi Diwopu International Airport","43.54","87.28","URC","8","CHN"
"ZYCC","Changchun Longjia International Airport","43.55","125.2","CGQ","8","CHN"
"ZYHB","Harbin Taiping International Airport","46.01","126.35","HRB","8","CHN"
"ZYTL","Dalian Zhoushuizi International Airport","38.58","121.33","DLC","8","CHN"
"ZYTX","Shenyang Taoxian International Airport","41.64","123.48","SHE","8","CHN"
