"ICAO","Name","Latitude","Longitude","IATA","GMT","Country code"
"AYGA","Goroka Airport Terminal","-6.04","145.23","GKA","1","NOR"
"AYLA","Lae Nadzab Airport","-6.44","146.6","LAE","1","NOR"
"AYMD","Madang Airport","-5.13","145.47","MAG","1","NOR"
"AYMH","Kagamuga International Airport","-5.52","144.14","HGU","1","NOR"
"AYPY","Jacksons International Airport","-9.26","147.13","POM","1","NOR"
"AYRB","Rabaul Airport","-4.13","152.11","RAB","1","NOR"
"AYWK","Wewak Airport","-3.36","143.4","WWK","1","NOR"
"BGBW","Narsarsuaq Airport","61.09","-45.22","UAK","-3","GRL"
"BGEM","Aasiaat Airpor","68.42","-52.45","JEG","-3","GRL"
"BGGH","Nuuk International Airport","64.1","-51.43","GOH","-3","GRL"
"BGHB","Sisimiut Airport","66.56","-53.42","JHS","-3","GRL"
"BGJH","Heliport Airport","60.45","-46","JJU","-3","GRL"
"BGJN","Ilulissat Airport","69.15","-51","JAV","-3","GRL"
"BGKK","Kulusuk Airport","65.34","-37.07","KUS","-3","GRL"
"BGMQ","Maniitsoq Airport","65.24","-52.52","JSU","-3","GRL"
"BGNN","Nanortalik Airport","60.09","-45.13","JNN","-3","GRL"
"BGSF","Kangerlussuaq Airport","67.01","-50.43","SFJ","-3","GRL"
"BIAR","Akureyri Airport","65.65","-18.08","AEY","0","ISL"
"BIEG","Egilsstadir Airport","65.17","-14.24","EGS","0","ISL"
"BIIS","Isafjordur Airport","66.03","-23.08","IFJ","0","ISL"
"BIKF","Keflavik Airport","63.59","-22.36","KEF","0","ISL"
"BIRK","Reykjavik City Airport","64.08","-21.57","RKV","0","ISL"
"BKPR","Pristina International Airport","42.34","21.01","PRN","2","XXK"
"CYAM","Sault Ste. Marie Airport","46.29","-84.3","YAM","-4","CDN"
"CYAY","St. Anthony Airport","51.22","-55.35","YAY","-3.5","CDN"
"CYBB","Kugaaruk Airport","68.53","-89.51","YBB","-6","CDN"
"CYBC","Baie-Comeau Airport","49.12","-68.16","YBC","-4","CDN"
"CYBG","Saguenay-Bagotville Airport","48.2","-70.59","YBG","-4","CDN"
"CYBK","Baker Lake Airport","64.18","-96.05","YBK","-6","CDN"
"CYBL","Campbell River-Jubilee Airport","49.57","-125.16","YBL","-7","CDN"
"CYCB","Cambridge Bay Airport","69.07","-105.08","YCB","-7","CDN"
"CYCD","Nanaimo Airport","49.1","-123.56","YCD","-7","CDN"
"CYCG","West Kootenay Regional Airport","49.18","-117.38","YCG","-7","CDN"
"CYCO","Kugluktuk Airport","67.5","-115.05","YCO","-6","CDN"
"CYCS","Chesterfield Inlet Airport","63.2","-90.42","YCS","-5","CDN"
"CYCY","Clyde River Airport","70.29","-68.31","YCY","-4","CDN"
"CYCZ","Coral Harbour Airport","64.12","-83.22","YZS","-5","CDN"
"CYDA","Dawson City Airport","64.03","-139.05","YDA","-7","CDN"
"CYDF","Deer Lake Regional Airport","49.13","-57.24","YDF","-3.5","CDN"
"CYDQ","Dawson Creek Regional Airport","55.44","-120.11","YDQ","-7","CDN"
"CYEG","Edmonton International Airport","53.19","-113.36","YEG","-7","CDN"
"CYEK","Arviat Airport","61.07","-94.03","YEK","-5","CDN"
"CYEV","Inuvik Mike Zubko Airport","68.18","-133.29","YEV","-7","CDN"
"CYFB","Iqaluit International Airport","63.45","-68.33","YFB","-4","CDN"
"CYFC","Fredericton International Airport","45.52","-66.32","YFC","-3","CDN"
"CYFJ","Mont-Tremblant International Airport","46.41","-74.78","YTM","-4","CDN"
"CYFO","Flin Flon Airport","54.45","-101.5","YFO","-5","CDN"
"CYFS","Fort Simpson Airport","61.45","-121.14","YFS","-6","CDN"
"CYGK","Kingston Airport","44.14","-76.35","KIN","-5","CDN"
"CYGL","La Grande Riviere Airport","53.35","-77.41","YGL","-4","CDN"
"CYGP","Michel-Pouliot Gaspe Airport","48.46","-64.29","YGP","-4","CDN"
"CYGR","Iles de la Madeleine Airport","47.25","-61.52","YGR","-4","CDN"
"CYGT","Igloolik Airport","69.24","-81.49","YGT","-4","CDN"
"CYGW","Kuujjuarapik Airport","55.16","-77.47","YGW","-4","CDN"
"CYGX","Gillam Airport","56.21","-94.43","YGX","-6","CDN"
"CYHA","Quaqtaq Airport","61.03","-69.37","YQC","-4","CDN"
"CYHD","Dryden Regional Airport","49.47","-92.5","YHD","-5","CDN"
"CYHI","Ulukhaktok/Holman Airport","70.43","-117.43","YHI","-6","CDN"
"CYHK","Gjoa Haven Airport","68.38","-95.57","YHK","-6","CDN"
"CYHM","John C. Munro Hamilton International Airport","43.1","-79.56","YHM","-4","CDN"
"CYHO","Hopedale Airport","55.28","-60.13","YHO","-3","CDN"
"CYHU","Montreal Saint-Hubert Longueuil Airport","45.51","-74.27","YHU","-5","CDN"
"CYHY","Hay River Merlyn Carter Airport","60.51","-115.46","YHY","-6","CDN"
"CYHZ","Halifax Stanfield International Airport","44.53","-63.31","YHZ","-3","CDN"
"CYIO","Pond Inlet Airport","72.41","-78","YIO","-4","CDN"
"CYJT","Stephenville International Airport","48.33","-58.34","YJT","-3.5","CDN"
"CYKA","Kamloops Airport","50.43","-120.25","YKA","-7","CDN"
"CYKF","Region of Waterloo International Airport","43.27","-80.29","YKF","-4","CDN"
"CYKL","Schefferville Airport","54.47","-66.43","YKL","-4","CDN"
"CYLC","Kimmirut Airport","62.51","-69.53","YLC","-4","CDN"
"CYLL","Lloydminster Municipal Airport","53.17","-110","YLL","-7","CDN"
"CYLW","Kelowna International Airport","49.53","-119.29","YLW","-7","CDN"
"CYMM","Fort McMurray International Airport","56.39","-111.13","YMM","-7","CDN"
"CYMO","Moosonee Airport","51.17","-80.38","YMO","-4","CDN"
"CYNA","Natashquan Airport","50.11","-61.47","YNA","-4","CDN"
"CYOC","Old Crow Airport","67.34","-139.51","YOC","-7","CDN"
"CYOD","Canadian Forces Base Cold Lake","54.27","-110.1","YOD","-6","CDN"
"CYOJ","High Level Airport","58.37","-117.1","YOJ","-6","CDN"
"CYOW","Ottawa International Airport","45.19","-75.4","YOW","-4","CDN"
"CYPH","Inukjuak Airport","58.27","-78.06","YPH","-4","CDN"
"CYPL","Pickle Lake Airport is located","51.3","-90.09","YPL","-5","CDN"
"CYPR","Prince Rupert Airport","54.17","-130.27","YPR","-7","CDN"
"CYQB","Quebec City Jean Lesage International Airport","46.45","-71.27","YQB","-4","CDN"
"CYQG","Windsor International Airport","42.16","-82.58","YQG","-4","CDN"
"CYQK","Kenora Airport","49.49","-94.22","YQK","-5","CDN"
"CYQL","Lethbridge Airport","49.38","-112.48","YQL","-7","CDN"
"CYQM","Greater Moncton Romeo LeBlanc International Airport","46.07","-64.41","YQM","-3","CDN"
"CYQQ","Canadian Forces Base Comox","49.43","-124.54","YQQ","-7","CDN"
"CYQR","Regina International Airport","50.26","-104.4","YQR","-6","CDN"
"CYQT","Thunder Bay International Airport","48.23","-89.15","YQT","-5","CDN"
"CYQU","Grande Prairie Airport","55.11","-118.53","YQU","-7","CDN"
"CYQX","Gander International Airport","48.57","-54.34","YQX","-3.5","CDN"
"CYQY","J.A. Douglas McCurdy Sydney Airport","46.1","-60.03","YQY","-4","CDN"
"CYQZ","Quesnel Airport","53.02","-122.31","YQZ","-7","CDN"
"CYRB","Resolute Bay Airport","74.43","-94.59","YRB","-5","CDN"
"CYRJ","Roberval Airport","48.32","-72.16","YRJ","-5","CDN"
"CYRT","Rankin Inlet Airport","62.48","-92.07","YRT","-6","CDN"
"CYSB","Greater Sudbury Airport","46.37","-80.48","YSB","-4","CDN"
"CYSJ","Saint John Airport","45.19","-65.53","YSJ","-3","CDN"
"CYSM","Fort Smith Airport","60.01","-111.58","YSM","-6","CDN"
"CYSR","Nanisivik Airport","72.59","-84.38","YSR","-4","CDN"
"CYSY","Sachs Harbour Airport","72","-125","YSY","-7","CDN"
"CYTE","Cape Dorset Airport","64.14","-76.32","YTE","-5","CDN"
"CYTH","Thompson Municipal Airport","55.48","-97.52","YTH","-5","CDN"
"CYTL","Big Trout Lake MTO Airport","53.45","-90","YTL","-6","CDN"
"CYTS","Timmins Victor M. Power Airport","48.34","-81.22","YTS","-5","CDN"
"CYTZ","Billy Bishop Toronto City Airport","43.38","-79.24","YTZ","-4","CDN"
"CYUB","Tuktoyaktuk James Gruben Airport","69.26","-132.6","YUB","-6","CDN"
"CYUL","Montreal-Pierre Elliott Trudeau International Airport","45.28","-73.45","YUL","-4","CDN"
"CYUT","Naujaat Airport","66.32","-86.15","YUT","-5","CDN"
"CYUX","Hall Beach Airport","68.47","-81.14","YUX","-4","CDN"
"CYUY","Rouyn-Noranda Airport","48.13","-78.5","YUY","-4","CDN"
"CYVM","Qikiqtarjuaq Airpor","67.33","-64.02","YVM","-4","CDN"
"CYVO","Val-d'Or Airport","48.03","-77.47","YVO","-4","CDN"
"CYVP","Kuujjuaq Airport","58.09","-68.27","YVP","-5","CDN"
"CYVQ","Norman Wells Airport","65.17","-126.48","YVQ","-7","CDN"
"CYVR","Vancouver International Airport","49.11","-123.11","YVR","-8","CDN"
"CYWG","Winnipeg James Armstrong Richardson International Airport","49.54","-97.14","YWG","-6","CDN"
"CYWK","Wabush-Labrador Airport","52.55","-66.52","YWK","-4","CDN"
"CYWL","Williams Lake Regional Airport","52.11","-122.03","YWL","-7","CDN"
"CYXC","Canadian Rockies International Airport","49.32","-115.46","YXC","-6","CDN"
"CYXE","Saskatoon John G. Diefenbaker International Airport","52.1","-106.41","YXE","-6","CDN"
"CYXH","Medicine Hat Regional Airport","50.01","-110.43","YXH","-6","CDN"
"CYXJ","North Peace Regional Airport","56.14","-120.44","YXJ","-7","CDN"
"CYXL","Sioux Lookout Airport","50.07","-91.54","YXL","-5","CDN"
"CYXN","Whale Cove Airport","62.11","-92.36","YXN","-6","CDN"
"CYXP","Pangnirtung Airport","66.09","-65.44","YXP","-4","CDN"
"CYXS","Prince George Airport","53.53","-122.41","YXS","-7","CDN"
"CYXT","Northwest Terrace Regional Airport","54.28","-128.35","YXT","-7","CDN"
"CYXU","London International Airport","43.02","-81.09","YXU","-4","CDN"
"CYXX","Abbotsford International Airport","49.03","-122.17","YXX","-7","CDN"
"CYXY","Erik Nielsen Whitehorse International Airport","60.43","-135.04","YXY","-7","CDN"
"CYYB","North Bay/Jack Garland Airport","46.22","-79.25","YYB","-4","CDN"
"CYYC","Calgary International Airport","51.06","-114.01","YYC","-7","CDN"
"CYYD","Smithers Airport","54.49","-127.11","YYD","-7","CDN"
"CYYE","Northern Rockies Regional Airport","58.5","-122.35","YYE","-7","CDN"
"CYYF","Penticton Airport","49.28","-119.36","YYF","-7","CDN"
"CYYG","Charlottetown Airport","46.17","-63.08","YYG","-4","CDN"
"CYYH","Taloyoak Airport","69.32","-93.31","YYH","-6","CDN"
"CYYJ","Victoria International Airport","48.39","-123.26","YYJ","-7","CDN"
"CYYQ","Churchill Airport","58.42","-94.01","YYQ","-6","CDN"
"CYYR","Goose Bay Airport","53.19","-60.25","YYR","-3","CDN"
"CYYT","St. John's International Airport","47.4","-52.49","YYT","-3.5","CDN"
"CYYU","Kapuskasing Airport","49.25","-82.26","YYU","-5","CDN"
"CYYY","Mont-Joli Interregional Airport","48.36","-68.12","YYY","-4","CDN"
"CYYZ","Toronto Pearson International Airport","43.41","-79.38","YYZ","-4","CDN"
"CYZF","Yellowknife Airport","62.28","-114.27","YZF","-7","CDN"
"CYZP","Sandspit Airport","53.15","-131.49","YZP","-7","CDN"
"CYZR","Sarnia Chris Hadfield Airport","43","-82.18","YZR","-4","CDN"
"CYZT","Port Hardy Airport","50.41","-127.22","YZT","-7","CDN"
"CYZV","Sept-Iles Airport","50.13","-66.16","YZV","-7","CDN"
"CZFM","Fort McPherson Airport","67.26","-134.53","ZFM","-6","CDN"
"DAAE","Soummam Abane Ramdane Airport","36.45","5.05","BJA","1","DZA"
"DAAG","Houari Boumediene Airport","36.7","3.2069","ALG","1","DZA"
"DAAP","Takhamalt Airport","26.29","8.28","VVZ","1","DZA"
"DAAT","Aguenar Hadj Bey Akhamok Airport","22.49","5.27","TMR","1","DZA"
"DAAV","Jijel Ferhat Abbas Airport","36.48","5.53","GJL","1","DZA"
"DABB","Annaba Rabah Bitat Airport","36.82","7.82","AAE","1","DZA"
"DABC","Mohamed Boudiaf International Airport","36.17","6.37","CZL","1","DZA"
"DAOB","Abdelhafid Boussouf Bou Chekif Airport","35.21","1.28","TID","1","DZA"
"DAOC","Boudghene Ben Ali Lotfi Airport","31.39","-2.15","CBH","1","DZA"
"DAON","Messali Hadj Airport","35.01","-1.27","TLM","1","DZA"
"DAOO","Ahmed Ben Bella Airport","35.37","-0.37","ORA","1","DZA"
"DAUA","Touat-Cheikh Sidi Mohamed Belkebir Airport","27.53","-0.17","AZR","1","DZA"
"DAUB","Mohamed Khider Airport","34.48","5.44","BSK","1","DZA"
"DAUG","Noumerat Moufdi Zakaria Airport","32.23","3.49","GHA","1","DZA"
"DAUH","Hassi Messaoud Oued Irara  Krim Belkacem Airport","31.4","6.09","HME","1","DZA"
"DAUK","Sidi Mahdi Airport","33.05","6.04","TGR","1","DZA"
"DAUZ","Amenas Airport","28.03","9.38","IAM","1","DZA"
"DBBB","Cotonou Cadjehoun Airport","6.21","2.23","COO","1","DZA"
"DFFD","Ouagadougou Airport","12.21","-1.31","OUA","0","BFA"
"DGAA","Kotoka International Airport","5.61","-0.17","ACC","0","GHA"
"DGCY","Ahmed Sekou Toure International Airport","9.34","-13.37","CKY","0","GIN"
"DGLE","Tamale International Airport","9.25","-0.53","TML","0","GHA"
"DGSN","Sunyani Airport","7.2","-2.2","NYI","0","GHA"
"DGTK","Takoradi Airport","4.54","-1.46","TKD","0","GHA"
"DIAP","Felix-Houphouet-Boigny International Airport","5.25","-3.93","ABJ","1","CIV"
"DNAA","Nnamdi Azikiwe International Airport","9.01","7.27","ABV","1","NGA"
"DNBE","Benin Airport","6.19","5.37","BNI","1","NGA"
"DNCA","Margaret Ekpo International Airport","4.59","8.2","CBQ","1","NGA"
"DNEN","Akanu Ibiam International Airport","6.28","7.33","ENU","1","NGA"
"DNJO","Yakubu Gowon Airport","9.52","8.54","JOS","1","NGA"
"DNKA","Kaduna International Airport","10.36","7.27","KAD","1","NGA"
"DNKN","Mallam Aminu Kano International Airport","12.03","8.31","KAN","1","NGA"
"DNMM","Murtala Muhammed International Airport","6.27","3.24","LOS","1","NGA"
"DNPO","Port Harcourt International Airport","4.43","7.05","PHC","1","NGA"
"DNSO","Sultan Abubakar III International Airport Sokoto","13.01","5.16","SKO","1","NGA"
"DRRN","Diori Hamani International Airport","13.29","2.1","NIM","1","NGA"
"DSGI","Kumasi Airport","6.43","-1.35","KMS","0","GHA"
"DTMB","Monastir Habib Bourguiba International Airport","35.45","10.45","MIR","1","TUN"
"DTTA","Tunis-Carthage International Airport","36.51","10.14","TUN","1","TUN"
"DTTJ","Djerba Zarzis International Airport","33.53","10.47","DJE","1","TUN"
"DTTX","Sfax Thyna International Airport","34.43","10.41","SFA","1","TUN"
"DTTZ","Tozeur Nefta International Airport","33.55","8.08","TOE","1","TUN"
"DXXX","Lome Tokoin Airport","6.1","1.15","LFW","0","TGO"
"EBAW","Antwerp International Airport","51.11","4.46","ANR","1","BEL"
"EBBR","Brussels Airport","50.54","4.29","BRU","1","BEL"
"EBCI","Brussels South Charleroi Airport","50.28","4.27","CRL","1","BEL"
"EBLG","Liege Airport","50.38","5.27","LGG","1","BEL"
"EDAC","Leipzig Altenburg Airport","50.98","12.51","AOC","1","DEU"
"EDAZ","Schoenhagen Airport","52.12","13.09","QXH","1","DEU"
"EDDB","Berlin Schonefeld Airport","52.3","13.31","SXF","1","DEU"
"EDDC","Dresden Airport","51.08","13.46","DRS","1","DEU"
"EDDE","Erfurt Weimar Airport","50.59","10.58","ERF","1","DEU"
"EDDF","Frankfurt Airport","50.02","8.34","FRA","1","DEU"
"EDDG","Munster Osnabruck International Airport","52.08","7.41","FMO","1","DEU"
"EDDH","Hamburg Airport","53.38","9.59","HAM","1","DEU"
"EDDK","Cologne Bonn Airport","50.52","7.09","CGN","1","DEU"
"EDDL","Dusseldorf International Airport","51.17","6.46","DUS","1","DEU"
"EDDM","Munich International Airport","48.21","11.47","MUC","1","DEU"
"EDDN","Nuremberg Airport","49.3","11.04","NUE","1","DEU"
"EDDP","Leipzig/Halle Airport","51.26","12.15","LEJ","1","DEU"
"EDDR","Saarbrucken Airport","49.13","7","SCN","1","DEU"
"EDDS","Stuttgart Airport","48.41","9.12","STR","1","DEU"
"EDDT","Berlin-Tegel Airport","52.34","13.18","TXL","1","DEU"
"EDDV","Hannover Airport","52.28","9.41","HAJ","1","DEU"
"EDDW","Bremen Airport","53.03","8.47","BRE","1","DEU"
"EDFE","Egelsbach Airport","49.57","8.38","QEF","1","DEU"
"EDFH","Frankfurt-Hahn Airport","49.57","7.15","HHN","1","DEU"
"EDFM","Mannheim City Airport","49.28","8.31","MHG","1","DEU"
"EDFY","Elz Airport","50.43","8.01","DFY","1","DEU"
"EDHK","Kiel Holtenau Airport","54.22","10.8","KEL","1","DEU"
"EDHL","Lubeck Airport","53.48","10.43","LBC","1","DEU"
"EDJA","Memmingen Airport","47.59","10.14","FMM","1","DEU"
"EDKB","Bonn Hangelar Airport","50.77","7.16","QCH","1","DEU"
"EDLP","Paderborn Lippstadt Airport","51.37","8.37","PAD","1","DEU"
"EDLW","Dortmund Airport","51.31","7.28","DTM","1","DEU"
"EDMA","Augsburg Airport","48.42","10.93","AGB","1","DEU"
"EDMO","Oberpfaffenhofen Airport","48.09","11.28","OBF","1","DEU"
"EDNY","Friedrichshafen Airport","47.4","9.31","FDH","1","DEU"
"EDQA","Bamberg Breitenau Airport","49.92","10.9","QCB","1","DEU"
"EDQG","Giebelstadt Airport","49.65","9.97","GHF","1","DEU"
"EDQM","Hof Plauen Airport","50.17","11.51","HOQ","1","DEU"
"EDSB","Karlsruhe/Baden-Baden Airport","48.46","8.08","FKB","1","DEU"
"EDTF","Freiburg Airport","47.6","7.53","QCF","1","DEU"
"EDTY","Schwabisch Hall Adolf Wurth Airport","47.03","7.06","QCP","1","DEU"
"EDVE","Braunschweig Wolfsburg Airport","52.19","10.33","BWE","1","DEU"
"EDVK","Kassel Calden Airport","51.42","9.38","KSF","1","DEU"
"EDWC","Damme Airport","52.48","8.19","DWC","1","DEU"
"EDWQ","Ganderkesee Airport","53.2","8.3","DWQ","1","DEU"
"EDXH","Helgoland Airport","54.11","7.55","HGL","1","DEU"
"EDXW","Sylt Airport","54.55","8.2","GWT","1","DEU"
"EETN","Tallinn Airport","59.28","24.48","TLL","2","EST"
"EFHK","Helsinki Airport","60.1","24.58","HEL","2","FIN"
"EFIV","Ivalo Airport","68.36","27.25","IVL","2","FIN"
"EFJO","Joensuu Airport","62.4","29.38","JOE","2","FIN"
"EFJY","Jyvaskyla Airport","62.14","25.44","JYV","2","FIN"
"EFKE","Kemi-Tornio Airport","65.47","24.35","KEM","2","FIN"
"EFKI","Kajaani Airport","64.17","27.41","KAJ","2","FIN"
"EFKK","Kokkola Airport","63.5","23.09","KOK","2","FIN"
"EFKS","Kuusamo Airport","65.58","29.2","KAO","2","FIN"
"EFKT","Kittila International Airport","67.4","24.54","KTT","2","FIN"
"EFKU","Kuopio Airport","63.01","27.48","KUO","2","FIN"
"EFLP","Lappeenranta Airport","61.03","28.09","LPP","2","FIN"
"EFOU","Oulu Airport","64.56","25.22","OUL","2","FIN"
"EFPO","Pori Airport","61.28","21.48","POR","2","FIN"
"EFRO","Rovaniemi Airport","66.34","25.5","RVN","2","FIN"
"EFSA","Savonlinna Airport","61.55","28.54","SVL","2","FIN"
"EFTP","Tampere Pirkkala Airport","61.28","23.44","TMP","2","FIN"
"EFTU","Turku Airport","60.31","22.16","TKU","2","FIN"
"EFVA","Vaasa Airport","63.03","21.46","VAA","2","FIN"
"EFVR","Varkaus Airport","62.18","27.56","VRK","2","FIN"
"EGAA","Belfast International Airport","54.35","-5.55","BFS","0","GBR"
"EGAC","George Best Belfast City Airport","54.37","-5.53","BHD","0","GBR"
"EGAE","City of Derry Airport","55.03","-7.09","LDY","0","GBR"
"EGBB","Birmingham Airport","52.45","-1.74","BHX","0","GBR"
"EGBJ","Gloucestershire Airport","51.54","-2.1","GLO","0","GBR"
"EGCC","Manchester Airport","53.21","-2.16","MAN","0","GBR"
"EGDG","Cornwall Airport Newquay","50.24","-5.04","NQY","0","GBR"
"EGFF","Cardiff Airport","51.24","-3.21","CWL","0","GBR"
"EGGD","Bristol Airport","51.31","-2.35","BRS","0","GBR"
"EGGP","Liverpool John Lennon Airport","53.2","-2.52","LPL","0","GBR"
"EGGW","London Luton Airport","51.52","-0.22","LTN","0","GBR"
"EGHD","Plymouth City Airport","50.25","-4.07","PLH","0","GBR"
"EGHE","Saint Mary's / Isles of Scilly Airport","49.54","-6.24","ISC","0","GBR"
"EGHH","Bournemouth International Airport","50.47","-1.5","BOH","0","GBR"
"EGHI","Southampton Airport","50.57","-1.21","SOU","0","GBR"
"EGHK","Penzance Heliport","50.07","-5.4","PZE","0","GBR"
"EGJA","Alderney Airport","49.71","-2.22","ACI","0","GBR"
"EGJB","Guernsey Airport","49.26","-2.36","GCI","0","GBR"
"EGJJ","Jersey Airport","49.13","-2.12","JER","0","GBR"
"EGKB","London Biggin Hill Airport","51.33","0.03","BQH","0","GBR"
"EGKK","Gatwick Airport","51.09","-0.11","LGW","0","GBR"
"EGLC","London City Airport","51.31","0.04","LCY","0","GBR"
"EGLF","Farnborough Airport","51.28","-0.78","FAB","0","GBR"
"EGLL","Heathrow Airport","51.28","-0.27","LHR","0","GBR"
"EGMC","London Southend Airport","51.57","0.69","SEN","0","GBR"
"EGMH","Manston International Airport","51.22","1.21","MSE","0","GBR"
"EGNH","Blackpool Airport","53.46","-3.02","BLK","0","GBR"
"EGNJ","Humberside Airport","53.35","-0.21","HUY","0","GBR"
"EGNM","Leeds Bradford Airport","53.52","-1.39","LBA","0","GBR"
"EGNS","Isle of Man Airport","54.15","-4.3","IOM","0","GBR"
"EGNT","Newcastle International Airport","55.02","-1.42","NCL","0","GBR"
"EGNV","Teesside International Airport","54.31","-1.25","MME","0","GBR"
"EGNX","East Midlands Airport","52.5","-1.19","EMA","0","GBR"
"EGPA","Kirkwall Airport","58.56","-2.54","KOI","0","GBR"
"EGPB","Sumburgh Airport","60.09","-1.09","LSI","0","GBR"
"EGPC","Wick John O'Groats Airport","58.27","-3.05","WIC","0","GBR"
"EGPD","Aberdeen International Airport","57.2","-2.2","ABZ","0","GBR"
"EGPE","Inverness Airport","57.32","-4.03","INV","0","GBR"
"EGPF","Glasgow Airport","55.53","-4.15","GLA","0","GBR"
"EGPH","Edinburgh Airport","55.57","-3.21","EDI","0","GBR"
"EGPI","Islay Airport","55.41","-6.15","ILY","0","GBR"
"EGPK","Glasgow Prestwick Airport","55.3","-4.35","PIK","0","GBR"
"EGPL","Benbecula Airport","57.29","-7.22","BEB","0","GBR"
"EGPN","Dundee Airport","56.27","-3.01","DND","0","GBR"
"EGPO","Stornoway Airport","58.13","-6.2","SYY","0","GBR"
"EGPR","Barra Airport","57.01","-7.26","BRR","0","GBR"
"EGPU","Tiree Airport","56.3","-6.52","TRE","0","GBR"
"EGSH","Norwich Airport","52.31","1.15","NWI","0","GBR"
"EGSS","London Stansted Airport","51.53","0.14","STN","0","GBR"
"EGTE","Exeter Airport","50.44","-3.25","EXT","0","GBR"
"EHAM","Amsterdam Airport Schiphol","52.31","4.77","AMS","1","NLD"
"EHBK","Maastricht Aachen Airport","50.55","5.47","MST","1","NLD"
"EHEH","Eindhoven Airport","51.27","5.23","EIN","1","NLD"
"EHGG","Groningen Airport Eelde","53.08","6.35","GRQ","1","NLD"
"EHRD","Rotterdam The Hague Airport","51.57","4.26","RTM","1","NLD"
"EICK","Cork Airport","51.5","-8.29","ORK","1","NLD"
"EICM","Galway Airport","53.18","-8.56","GWY","0","IRL"
"EIDW","Dublin Airport","53.26","-6.15","DUB","0","IRL"
"EIKN","Ireland West Airport","53.55","-8.49","NOC","0","IRL"
"EIKY","Kerry Airport","52.11","-9.31","KIR","0","IRL"
"EINN","Shannon Airport","52.42","-8.55","SNN","0","IRL"
"EISG","Sligo Airport","54.17","-8.36","SXL","0","IRL"
"EIWF","Waterford Airport","52.12","-7.05","WAT","0","IRL"
"EKAH","Aarhus Airport","56.31","10.63","AAR","1","DNK"
"EKBI","Billund Airport","55.44","9.09","BLL","1","DNK"
"EKCH","Copenhagen Airport","55.4","12.35","CPH","1","DNK"
"EKEB","Esbjerg Airport","55.3","8.29","EBJ","1","DNK"
"EKKA","Midtjyllands Airport","56.18","9.07","KRP","1","DNK"
"EKRN","Bornholm Airport","43.04","14.46","RNN","1","DNK"
"EKSB","Sonderborg Airport","54.57","9.46","SGD","1","DNK"
"EKVG","Vagar Faroe International Airport","62.04","-7.16","FAE","1","FRO"
"EKYT","Aalborg Airport","57.06","9.94","AAL","1","DNK"
"ELLX","Luxembourg Airport","49.37","6.12","LUX","1","LUX"
"ENAL","Alesund Vigra Airport","62.56","6.12","AES","1","NOR"
"ENAN","Andoya Airport","69.19","16.07","ANX","1","NOR"
"ENAT","Alta Airport","69.98","23.3535","ALF","1","NOR"
"ENBN","Bronnoysund Airport","65.29","12.13","BNN","1","NOR"
"ENBO","Bodo Airport","67.16","14.22","BOO","1","NOR"
"ENBR","Bergen Airport","60.18","5.13","BGO","1","NOR"
"ENBS","Batsfjord Airport","70.38","29.3","BJF","1","NOR"
"ENBV","Berlevag Airport","70.52","29","BVG","1","NOR"
"ENCN","Kristiansand Airport","58.12","8.06","KRS","1","NOR"
"ENDU","Bardufoss Airport","69.06","18.54","BDU","1","NOR"
"ENEV","Harstad/Narvik Airport","68.3","16.41","EVE","1","NOR"
"ENFG","Fagernes Airport","61.05","9.2","VDB","1","NOR"
"ENFL","Floro Airport","61.3","5.05","FRO","1","NOR"
"ENGM","Oslo Airport","59.54","10.37","OSL","1","NOR"
"ENHD","Haugesund Airport","59.25","5.18","HAU","1","NOR"
"ENHF","Hammerfest Airport","70.42","23.4","NFT","1","NOR"
"ENHK","Hasvik Airport","70.29","22.02","HAA","1","NOR"
"ENHV","Honningsvag Airport","70.59","25.5","HVG","1","NOR"
"ENKB","Kristiansund Airport","63.07","7.51","KSU","1","NOR"
"ENKR","Kirkenes Airport","69.43","29.54","KKN","1","NOR"
"ENLK","Leknes Airport","68.09","13.01","LKN","1","NOR"
"ENML","Molde Airport","62.44","7.09","MOL","1","NOR"
"ENMR","Mehamn Airport","71.02","27.5","MEH","1","NOR"
"ENMS","Mosjoen Airport","65.47","13.13","MJF","1","NOR"
"ENNA","Lakselv Airport","70.03","24.59","LKL","1","NOR"
"ENNK","Narvik Airport","68.26","17.26","NVK","1","NOR"
"ENNM","Namsos Airport","64.28","11.36","OSY","1","NOR"
"ENOL","Orland Airport","63.42","9.37","OLA","1","NOR"
"ENOV","Orsta-Volda Airport","62.12","6.09","HOV","1","NOR"
"ENRO","Roros Airport","62.35","11.21","RRS","1","NOR"
"ENRS","Rost Airport","67.29","12.05","RET","1","NOR"
"ENSB","Svalbard Airport","78.12","15.54","LYR","1","NOR"
"ENSD","Sandane Airport","61.46","6.13","SDN","1","NOR"
"ENSG","Sogndal Airport","61.1","7.08","SOG","1","NOR"
"ENSH","Svolver Airport","68.14","14.33","SVJ","1","NOR"
"ENSK","Stokmarknes Airport","68.35","15.01","SKN","1","NOR"
"ENSN","Skien Airport","59.14","9.42","SKE","1","NOR"
"ENSO","Stord Airport","59.3","5.3","SRP","1","NOR"
"ENSR","Sorkjosen Airport","69.47","20.56","SOJ","1","NOR"
"ENST","Sandnessjoen Airport","65.57","12.28","SSJ","1","NOR"
